step	train_mae
0	43.2084846496582
1	17.48145294189453
2	11.792983055114746
3	12.531352043151855
4	13.705307006835938
5	7.723107814788818
6	11.758695602416992
7	13.380053520202637
8	10.455085754394531
9	7.56024694442749
10	11.362603187561035
11	13.398633003234863
12	14.962849617004395
13	5.964564323425293
14	11.754461288452148
15	6.832999229431152
16	11.124052047729492
17	13.311688423156738
18	14.295491218566895
19	6.258662223815918
20	11.118690490722656
21	13.397746086120605
22	13.84394359588623
23	6.210953712463379
24	11.139501571655273
25	6.151777744293213
26	10.9744873046875
27	13.676684379577637
28	13.7518949508667
29	6.382950305938721
30	11.391654968261719
31	6.3205671310424805
32	11.296300888061523
33	6.258026123046875
34	11.200204849243164
35	6.1953349113464355
36	11.113987922668457
37	13.4507474899292
38	13.537562370300293
39	6.141331672668457
40	11.080850601196289
41	6.349911689758301
42	11.332926750183105
43	6.284360408782959
44	11.231639862060547
45	6.218769550323486
46	11.149515151977539
47	13.47485637664795
48	13.623026847839355
49	6.159762382507324
50	11.1784029006958
51	6.094515323638916
52	11.075746536254883
53	6.029265403747559
54	10.91205883026123
55	13.587898254394531
56	13.64228630065918
57	6.23101806640625
58	11.277693748474121
59	6.163679599761963
60	11.171266555786133
61	6.096409797668457
62	11.072224617004395
63	13.421551704406738
64	13.417101860046387
65	6.034674167633057
66	11.030021667480469
67	6.225344181060791
68	11.25279426574707
69	6.1563568115234375
70	11.149550437927246
71	13.502482414245605
72	13.472837448120117
73	4.521116733551025
74	6.921624660491943
75	10.671358108520508
76	12.69317626953125
77	14.704893112182617
78	4.960096836090088
79	12.362848281860352
80	9.87450885772705
81	7.423573970794678
82	10.60439395904541
83	12.480730056762695
84	15.384817123413086
85	4.658017158508301
86	13.111872673034668
87	13.951826095581055
88	5.901839733123779
89	10.88648796081543
90	13.097867012023926
91	13.824020385742188
92	4.802489280700684
93	14.372662544250488
94	5.965883731842041
95	10.91440486907959
96	13.119807243347168
97	13.994857788085938
98	5.90057373046875
99	10.89772891998291
